rank,restaurant_name,city,state,phone_number,website,email_address,source,source_url,verification_status
1,Tony's Italian Delicatessen,Montgomery,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
2,Gino's Deli Stop N Buy,San Antonio,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
3,Kurry Takos,Austin,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
4,Tommy Tamale Market & Cafe,Grapevine,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
5,Frank,Dallas,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
6,It's a Punjabi Affair,Amarillo,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
7,Hatsuyuki Handroll Bar,Fort Worth,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
8,Nancy's Sky Garden,Austin,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
9,Las Tortas Perronas,Houston,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
10,DB's Rustic Iron BBQ,Terlingua,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
11,Boteco,Austin,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
12,Jewboy Burgers,Austin,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
13,Granny's Tacos,Austin,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
14,Hugs Cafe,McKinney,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
